unique_genes
unknown
A4GALT
A4GNT
AACS
AADAC
AADAT
AANAT
AASS
ABAT
ABCA1
ABCB11
ABCB4
ABCC1
ABCC3
ABCC4
ABCC5
ABO
ABP1
ACAA1
ACACA
ACACB
ACAD10
ACAD11
ACAD8
ACAD9
ACADM
ACADS
ACADSB
ACAT1
ACAT2
ACHE
ACLY
ACMSD
ACO1
ACO2
ACOT12
ACOT2
ACOT8
ACOX1
ACOX2
ACOX3
ACP1
ACP2
ACSL1
ACSL3
ACSL4
ACSL5
ACSM1
ACSS1
ACSS2
ACY1
ACY3
ACYP1
ACYP2
ADA
ADC
ADCY1
ADCY10
ADCY2
ADCY3
ADCY4
ADCY5
ADCY6
ADCY7
ADCY8
ADCY9
ADH1A
ADH1B
ADH1C
ADH4
ADH5
ADH6
ADH7
ADHFE1
ADK
ADSL
ADSS
ADSSL1
AGA
AGL
AGMAT
AGPAT1
AGPAT2
AGPAT3
AGPAT4
AGPAT5
AGPAT6
AGPS
AGXT
AGXT2
AGXT2L1
AHCY
AHCYL1
AHCYL2
AICDA
AK1
AK2
AK3
AK3L1
AK5
AK7
AKR1A1
AKR1B1
AKR1C1
AKR1C4
AKR1D1
AKR7A2
ALAD
ALAS1
ALAS2
ALDH18A1
ALDH1A1
ALDH1A2
ALDH1A3
ALDH1B1
ALDH1L1
ALDH2
ALDH3A1
ALDH3A2
ALDH3B1
ALDH3B2
ALDH4A1
ALDH5A1
ALDH6A1
ALDH7A1
ALDH9A1
ALDOA
ALDOB
ALDOC
ALG1
ALG10
ALG12
ALG2
ALG3
ALG5
ALG6
ALG8
ALOX12
ALOX12B
ALOX15
ALOX15B
ALOX5
ALPI
ALPL
ALPP
ALPPL2
AMACR
AMD1
AMDHD2
AMPD1
AMPD2
AMPD3
AMT
AMY1A
AMY1B
AMY1C
AMY2A
AMY2B
ANPEP
AOC2
AOC3
AOX1
APRT
AQP8
AQP9
ARG1
ARG2
ARSA
ARSB
ASAH1
ASL
ASMT
ASNS
ASPA
ASRGL1
ASS1
ATHL1
ATIC
ATP10A
ATP1A1
ATP1A2
ATP1A3
ATP1A4
ATP1B1
ATP1B2
ATP1B3
ATP1B4
ATP2B1
ATP2B2
ATP2B3
ATP2B4
ATP4A
ATP4B
ATP5A1
ATP5B
ATP5C1
ATP5D
ATP5E
ATP5F1
ATP5G1
ATP5G2
ATP5G3
ATP5H
ATP5I
ATP5J
ATP5J2
ATP5L
ATP6V0A1
ATP6V0A2
ATP6V0A4
ATP6V0B
ATP6V0C
ATP6V0D1
ATP6V0D2
ATP6V0E1
ATP6V1A
ATP6V1B1
ATP6V1B2
ATP6V1C1
ATP6V1C2
ATP6V1D
ATP6V1E1
ATP6V1E2
ATP6V1F
ATP6V1G1
ATP6V1G2
ATP6V1G3
ATP6V1H
ATP8A1
AUH
B3GALNT1
B3GALT4
B3GALT5
B3GALT6
B3GAT1
B3GAT2
B3GAT3
B3GNT1
B3GNT2
B3GNT3
B3GNT4
B3GNT5
B3GNT6
B3GNT7
B3GNT8
B4GALNT1
B4GALT1
B4GALT2
B4GALT3
B4GALT5
B4GALT7
BAAT
BBOX1
BCAT1
BCAT2
BCKDHA
BCKDHB
BCMO1
BDH1
BHMT
BHMT2
BLVRA
BLVRB
BPGM
BPNT1
BTD
C1GALT1
C9orf95
CA1
CA12
CA13
CA14
CA2
CA3
CA4
CA5A
CA5B
CA7
CA9
CAD
CANT1
CAT
CBR1
CBS
CCBL1
CD38
CDA
CDIPT
CDO1
CDS1
CDS2
CEPT1
CERK
CES2
CH25H
CHAT
CHDH
CHIA
CHIT1
CHKA
CHKB
CHPF
CHPF2
CHPT1
CHST1
CHST11
CHST12
CHST13
CHST14
CHST2
CHST3
CHST4
CHST5
CHST6
CHST7
CHSY1
CHSY3
CKB
CKM
CKMT1B
CKMT2
CLC
CLYBL
CMAS
CMPK1
CNDP1
COASY
COL4A3BP
COMT
COMTD1
COQ2
COQ3
COQ6
COQ7
COX1
COX2
COX3
COX4I1
COX4I2
COX5A
COX5B
COX6A1
COX6A2
COX6B1
COX6B2
COX6C
COX7A1
COX7A2
COX7A2L
COX7B
COX7B2
COX7C
COX8A
COX8C
CPOX
CPS1
CPT1A
CPT1B
CPT1C
CPT2
CRAT
CRLS1
CROT
CS
CSAD
CSGALNACT1
CSGALNACT2
CTH
CTPS
CTPS2
CTSA
CYB5D1
CYBRD1
CYC1
CYP11A1
CYP11B1
CYP11B2
CYP17A1
CYP19A1
CYP1A1
CYP1A2
CYP1B1
CYP21A2
CYP24A1
CYP27A1
CYP27B1
CYP2A13
CYP2A6
CYP2C18
CYP2C19
CYP2C8
CYP2C9
CYP2D6
CYP2E1
CYP2F1
CYP39A1
CYP3A4
CYP3A43
CYP3A5
CYP3A7
CYP46A1
CYP4A11
CYP4F12
CYP4F2
CYP4F3
CYP4F8
CYP51A1
CYP7A1
CYP7B1
CYP8B1
CYTB
DAD1
DAO
DBH
DBT
DCI
DCK
DCT
DCTD
DCXR
DDC
DDO
DDOST
DEGS1
DGAT1
DGAT2
DGKA
DGKB
DGKD
DGKE
DGKG
DGKH
DGKI
DGKQ
DGKZ
DGUOK
DHCR24
DHCR7
DHFR
DHODH
DLAT
DLD
DLST
DMGDH
DNMT1
DNMT3A
DNMT3B
DOLPP1
DOT1L
DPAGT1
DPM1
DPM2
DPM3
DPYD
DPYS
DPYSL2
DPYSL3
DTYMK
DUOX1
DUOX2
DUT
EBP
ECH1
ECHDC2
ECHS1
EHHADH
EHMT1
EHMT2
ELOVL4
ENGASE
ENO1
ENO2
ENO3
ENPP1
ENPP2
ENPP3
ENTPD1
ENTPD2
ENTPD3
ENTPD4
ENTPD5
ENTPD6
EPX
ESD
ETFA
ETFB
ETFDH
ETNK1
ETNK2
EXT1
EXT2
EXTL1
EXTL2
EXTL3
FADS1
FADS2
FAH
FASN
FBP1
FBP2
FDFT1
FDPS
FECH
FH
FLAD1
FOLR1
FOLR2L
FOLR3
FPGS
FPGT
FTCD
FUCA1
FUCA2
FUK
FUT1
FUT3
FUT8
FUT9
G6PC
G6PC2
G6PC3
G6PD
G6PT2
GAA
GAD1
GAD2
GAL3ST1
GALC
GALE
GALK1
GALK2
GALNS
GALNT1
GALNT10
GALNT11
GALNT12
GALNT13
GALNT14
GALNT2
GALNT3
GALNT4
GALNT5
GALNT6
GALNT7
GALNT8
GALNT9
GALNTL2
GALT
GAMT
GANC
GAPDH
GAPDHS
GART
GATM
